VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
343, 79,  0.51874,  1.73706,  0.41844,  0.76895, -0.63826,  0.03655, -0.34504, -0.36621,  0.8642, -1.00,  0.72752,  0.52073,  0.72752,  0.52073,  0.72752,  0.52073
344, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
345, 82,  0.43802,  1.71464,  0.19471,  0.90946, -0.41453,  0.03252, -0.23398, -0.44555,  0.86414, -1.00,  0.71085,  0.50233,  0.71085,  0.50233,  0.71085,  0.50233
346, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
347, 79,  0.51874,  1.73706,  0.41844,  0.76895, -0.63826,  0.03655, -0.34504, -0.36621,  0.8642, -1.00,  0.72752,  0.52073,  0.72752,  0.52073,  0.72752,  0.52073
348, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
349, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
350, 77,  0.62392,  1.98537,  0.30134,  0.99403,  0.01768, -0.10769,  0.10314, -0.47458,  0.87415, -1.00,  0.69982,  0.53941,  0.69982,  0.53941,  0.69982,  0.53941
351, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
352, 82,  0.43802,  1.71464,  0.19471,  0.90946, -0.41453,  0.03252, -0.23398, -0.44555,  0.86414, -1.00,  0.71085,  0.50233,  0.71085,  0.50233,  0.71085,  0.50233
353, 84,  0.45564,  1.70721,  0.08304,  0.92319, -0.35091,  0.15678, -0.29972, -0.40195,  0.86522, -1.00,  0.69954,  0.49611,  0.69954,  0.49611,  0.69954,  0.49611
354, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
355, 81,  0.54646,  2.02401, -0.05393,  0.92749,  0.3688,  0.06126,  0.10865, -0.42271,  0.89973, -1.00,  0.6656,  0.52106,  0.6656,  0.52106,  0.6656,  0.52106
356, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
357, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
